OPE ID,Institution Name,City,State,Zip Code,Institution Type,"School Group Name
The school is part of a group of institutions owned and/or operated by the corporate or non-profit entity listed below",Institution Fiscal Year End, Composite Score for Institution's  Fiscal Year Ending Between 07/01/2016 - 6/30/2017,,,,,,,,,,,,,,,,,,,
00884300,Alaska Bible College,Palmer,AK,99645-6619,Non-profit,N/A,05/31/2017,0.9,,,,,,,,,,,,,,,,,,,
02541000,Alaska Career College,Anchorage,AK,99507-1033,Proprietary,N/A,12/31/2016,2.4,,,,,,,,,,,,,,,,,,,
04138600,Alaska Christian College,Soldotna,AK,99669-9755,Non-profit,N/A,05/31/2017,3.0,,,,,,,,,,,,,,,,,,,
00106100,Alaska Pacific University,Anchorage,AK,99508-4672,Non-profit,N/A,06/30/2017,2.2,,,,,,,,,,,,,,,,,,,
04226700,Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,Non-profit,N/A,09/30/2016,3.0,,,,,,,,,,,,,,,,,,,
04255500,Alabama School of Nail Technology & Cosmetology,Jackson,AL,36545-2718,Proprietary,N/A,12/31/2016,1.6,,,,,,,,,,,,,,,,,,,
03032500,Alabama State College of Barber Styling,Gardendale,AL,35071-4615,Proprietary,N/A,12/31/2016,1.7,,,,,,,,,,,,,,,,,,,
02503400,Amridge University,Montgomery,AL,36117-3553,Non-profit,N/A,06/30/2017,2.7,,,,,,,,,,,,,,,,,,,
00101200,Birmingham-Southern College,Birmingham,AL,35254-0002,Non-profit,N/A,05/31/2017,2.1,,,,,,,,,,,,,,,,,,,
03783300,Blue Cliff Career College,Mobile,AL,36606-4749,Proprietary,N/A,12/31/2016,1.7,,,,,,,,,,,,,,,,,,,
04066300,Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36606-1411,Proprietary,N/A,06/30/2017,2.8,,,,,,,,,,,,,,,,,,,
04121500,Columbia Southern University,Orange Beach,AL,36561-3815,Proprietary,"Columbia Southern Education Group, Inc. and Subsidiaries  and CSU Prop",12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,Montgomery,AL,36109-3398,Non-profit,N/A,05/31/2017,2.4,,,,,,,,,,,,,,,,,,,
02341000,Fortis College,Mobile,AL,36608-3712,Proprietary,"Education Affiliates, Inc. and Subsidiaries",06/30/2017,-1.0,,,,,,,,,,,,,,,,,,,
03361400,Fortis College,Foley,AL,36535-0000,Proprietary,"Education Affiliates, Inc. and Subsidiaries",06/30/2017,-1.0,,,,,,,,,,,,,,,,,,,
03010800,Fortis Institute,Birmingham,AL,35211-0000,Proprietary,"Education Affiliates, Inc. and Subsidiaries",06/30/2017,-1.0,,,,,,,,,,,,,,,,,,,
04187300,Hair Academy (The),Montgomery,AL,36111-2201,Proprietary,N/A,06/30/2017,2.5,,,,,,,,,,,,,,,,,,,
02199700,Heritage Christian University,Florence,AL,35630-6245,Non-profit,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
00101900,Huntingdon College,Montgomery,AL,36106-2148,Non-profit,N/A,05/31/2017,2.7,,,,,,,,,,,,,,,,,,,
03894300,Huntsville Bible College,Huntsville,AL,35811-1632,Non-profit,N/A,07/31/2016,2.0,,,,,,,,,,,,,,,,,,,
00102300,Judson College,Marion,AL,36756-2504,Non-profit,N/A,06/30/2017,2.2,,,,,,,,,,,,,,,,,,,
04229400,Midfield Institute of Cosmetology,Midfield,AL,35228-2233,Non-profit,N/A,12/31/2016,2.8,,,,,,,,,,,,,,,,,,,
00102800,Miles College,Fairfield,AL,35064-2697,Non-profit,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
03113500,Mitchell Cosmetology College,Alabaster,AL,35007-8921,Proprietary,N/A,12/31/2016,2.7,,,,,,,,,,,,,,,,,,,
04187200,New Beginning College of Cosmetology,Albertville,AL,35951-0000,Proprietary,N/A,12/31/2016,2.6,,,,,,,,,,,,,,,,,,,
00103300,Oakwood University,Huntsville,AL,35896-0001,Non-profit,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
02285000,Paul Mitchell The School Huntsville,Madison,AL,35758-0000,Proprietary,N/A,12/31/2016,1.8,,,,,,,,,,,,,,,,,,,
04211000,Salon Professional Academy (The),Huntsville,AL,35816-1849,Proprietary,N/A,03/31/2017,2.5,,,,,,,,,,,,,,,,,,,
00103600,Samford University,Birmingham,AL,35229-7000,Non-profit,N/A,06/30/2017,2.9,,,,,,,,,,,,,,,,,,,
02270400,Southeastern Bible College,Birmingham,AL,35244-2083,Non-profit,N/A,05/31/2017,1.5,,,,,,,,,,,,,,,,,,,
00104100,Spring Hill College,Mobile,AL,36608-1791,Non-profit,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
00104400,Stillman College,Tuscaloosa,AL,35401-1430,Non-profit,N/A,06/30/2017,1.6,,,,,,,,,,,,,,,,,,,
00104600,Talladega College,Talladega,AL,35160-2354,Non-profit,N/A,06/30/2017,2.9,,,,,,,,,,,,,,,,,,,
00105000,Tuskegee University,Tuskegee Institute,AL,36088-1645,Non-profit,N/A,06/30/2017,2.8,,,,,,,,,,,,,,,,,,,
02170600,United States Sports Academy,Daphne,AL,36526-7055,Non-profit,N/A,08/31/2016,3.0,,,,,,,,,,,,,,,,,,,
04197500,University Academy of Hair Design,Tuscaloosa,AL,35401-5621,Proprietary,N/A,12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
00102900,University of Mobile,Mobile,AL,36663-0220,Non-profit,N/A,06/30/2017,2.2,,,,,,,,,,,,,,,,,,,
03010600,Virginia College,Birmingham,AL,35209-5154,Proprietary,Education Corporation of America and Subsidiaries,12/31/2016,1.2,,,,,,,,,,,,,,,,,,,
04149200,Xcell Academy A Paul Mitchell School,Hoover,AL,35216-4990,Proprietary,N/A,12/31/2016,2.0,,,,,,,,,,,,,,,,,,,
04241800,Academy of Professional Cosmetology,Rogers,AR,72756-2028,Proprietary,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
01074100,Academy of Salon and Spa,Fort Smith,AR,72901-3833,Proprietary,N/A,06/30/2017,2.6,,,,,,,,,,,,,,,,,,,
00108700,Arkansas Baptist College,Little Rock,AR,72202-6099,Non-profit,N/A,06/30/2017,-0.5,,,,,,,,,,,,,,,,,,,
03997300,Arkansas Beauty College,Russellville,AR,72801-3741,Proprietary,N/A,12/31/2016,2.3,,,,,,,,,,,,,,,,,,,
03005100,Arkansas Beauty School- Little Rock,Little Rock,AR,72209-5116,Proprietary,N/A,12/31/2016,2.9,,,,,,,,,,,,,,,,,,,
03023400,Arkansas College of Barbering & Hair Design,North Little Rock,AR,72114-5615,Proprietary,N/A,12/31/2016,1.8,,,,,,,,,,,,,,,,,,,
04256800,Arkansas Colleges of Health Education,Fort Smith,AR,72916-6024,Non-profit,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
02363500,Arthur's Beauty College,Jonesboro,AR,72401-6198,Proprietary,"Arthur's Beauty College, Inc.",12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
02538500,Arthur's Beauty College,Jacksonville,AR,72076-1819,Proprietary,"Arthur's Beauty College, Inc.",12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
03105200,Baptist Health College Little Rock,Little Rock,AR,72210-2820,Non-profit,N/A,12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
04238900,"Beauty School, (The)",Mountain Home,AR,72653-3275,Proprietary,N/A,12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
04262800,C. Alexander School of Cosmetology,Little Rock,AR,72204-6001,Proprietary,N/A,12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
02341700,Career Academy of Hair Design,Springdale,AR,72764-7128,Proprietary,N/A,09/30/2016,2.4,,,,,,,,,,,,,,,,,,,
00109300,Central Baptist College,Conway,AR,72034-6470,Non-profit,N/A,06/30/2017,2.2,,,,,,,,,,,,,,,,,,,
03912300,Credence Institute of Beauty,Crossett,AR,71635-0000,Proprietary,N/A,12/31/2016,2.3,,,,,,,,,,,,,,,,,,,
00109500,Crowley's Ridge College,Paragould,AR,72450-9775,Non-profit,N/A,06/30/2017,1.7,,,,,,,,,,,,,,,,,,,
04270100,Delta Designs Cosmetology School,Wynne,AR,72396-1602,Proprietary,N/A,06/30/2017,1.8,,,,,,,,,,,,,,,,,,,
04220000,Designer Barber & Stylist School,Ft Smith,AR,72903-3753,Proprietary,N/A,12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
03855300,Ecclesia College,Springdale,AR,72762-8159,Non-profit,N/A,05/31/2017,1.6,,,,,,,,,,,,,,,,,,,
00109700,Harding University,Searcy,AR,72149-0001,Non-profit,N/A,06/30/2017,2.7,,,,,,,,,,,,,,,,,,,
