OPE ID,Institution Name,City,State,Zip Code,Institution Fiscal Year End,"School Group Name
The school is part of a group of institutions owned and/or operated by the corporate or non-profit entity listed below",  Institution Type, Composite Score for Institution's  Fiscal Year Ending Between 07/01/2019 - 6/30/2020
02541000,Alaska Career College,Anchorage,AK,99507-1033,12/31/2019,N/A,Proprietary,2.9
04226700,Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,09/30/2019,N/A,Non-Profit,3.0
04255500,Alabama School of Nail Technology & Cosmetology,Jackson,AL,36545-2718,12/31/2019,N/A,Proprietary,1.9
03032500,Alabama State College of Barber Styling,Gardendale,AL,35071-4615,12/31/2019,N/A,Proprietary,3.0
02503400,Amridge University,Montgomery,AL,36117-3553,06/30/2020,N/A,Non-Profit,3.0
03783300,Blue Cliff Career College,Mobile,AL,36606-4749,12/31/2019,N/A,Proprietary,3.0
04267900,Brown Beauty Barber School,Bessemer,AL,35020-5016,12/31/2019,N/A,Proprietary,1.8
04066300,Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36606-1411,06/30/2020,N/A,Proprietary,3.0
04121500,Columbia Southern University,Orange Beach,AL,36561-3815,12/31/2019,"Columbia Southern Education Group, Inc. and Subsidiaries  and CSU Prop",Proprietary,3.0
02341000,Fortis College,Mobile,AL,36608-3712,06/30/2020,"Education Affiliates, Inc. and Subsidiaries",Proprietary,0.2
03361400,Fortis College,Foley,AL,36535-0000,06/30/2020,"Education Affiliates, Inc. and Subsidiaries",Proprietary,0.2
00101900,Huntingdon College,Montgomery,AL,36106-2148,05/31/2020,N/A,Non-Profit,1.9
03894300,Huntsville Bible College,Huntsville,AL,35811-1632,07/31/2019,N/A,Non-Profit,1.7
00102800,Miles College,Fairfield,AL,35064-2697,06/30/2020,N/A,Non-Profit,3.0
04187200,New Beginning College of Cosmetology,Albertville,AL,35951-0000,12/31/2019,N/A,Proprietary,1.9
02285000,Paul Mitchell The School Huntsville,Madison,AL,35758-0000,12/31/2019,N/A,Proprietary,3.0
04211000,Salon Professional Academy (The),Huntsville,AL,35816-1849,03/31/2020,N/A,Proprietary,1.7
02170600,United States Sports Academy,Daphne,AL,36526-7055,08/31/2019,N/A,Non-Profit,2.3
04197500,University Academy of Hair Design,Tuscaloosa,AL,35401-5621,12/31/2019,N/A,Proprietary,1.7
00102900,University of Mobile,Mobile,AL,36663-0220,06/30/2020,N/A,Non-Profit,2.9
04273500,Winonah's International School of Cosmetology,Hoover,AL,35244-7103,12/31/2019,N/A,Proprietary,2.3
04149200,Xcell Academy A Paul Mitchell School,Hoover,AL,35216-4990,12/31/2019,N/A,Proprietary,2.7
03997300,Arkansas Beauty College,Russellville,AR,72801-3741,12/31/2019,N/A,Proprietary,2.2
03005100,Arkansas Beauty School- Little Rock,Little Rock,AR,72209-5116,12/31/2019,N/A,Proprietary,2.7
03023400,Arkansas Technical School,North Little Rock,AR,72114-5615,12/31/2019,N/A,Proprietary,2.8
