OPE ID,Institution Name,City,State ,Zip Code,Institution Type,Institution Fiscal Year,Composite Score for Institution Fiscal Year Ending 7/01/2014 and 6/30/2015,,,,
00106100,Alaska Pacific University,Anchorage,AK,99508-4672,Non Profit,06/30/2015,2.6,,,,
00884300,Alaska Bible College,Palmer,AK,99645-6619,Non Profit,05/31/2015,1.4,,,,
02541000,Alaska Career College,Anchorage,AK,99507-1033,Proprietary,12/31/2014,2.6,,,,
04138600,Alaska Christian College,Soldotna,AK,99669-9755,Non Profit,05/31/2015,2.1,,,,
00100300,Faulkner University,Montgomery,AL,36109-3398,Non Profit,05/31/2015,2.7,,,,
00101200,Birmingham-Southern College,Birmingham,AL,35254-0002,Non Profit,05/31/2015,2.0,,,,
00101900,Huntingdon College,Montgomery,AL,36106-2148,Non Profit,05/31/2015,2.9,,,,
00102300,Judson College,Marion,AL,36756-2504,Non Profit,06/30/2015,2.5,,,,
00102800,Miles College,Fairfield,AL,35064-2697,Non Profit,06/30/2015,2.9,,,,
00102900,University of Mobile,Mobile,AL,36663-0220,Non Profit,06/30/2015,1.2,,,,
00103300,Oakwood University,Huntsville,AL,35896-0001,Non Profit,06/30/2015,3.0,,,,
00103600,Samford University,Birmingham,AL,35229-7000,Non Profit,06/30/2015,2.2,,,,
00104100,Spring Hill College,Mobile,AL,36608-1791,Non Profit,06/30/2015,1.4,,,,
00104400,Stillman College,Tuscaloosa,AL,35401-1430,Non Profit,06/30/2015,2.6,,,,
00104600,Talladega College,Talladega,AL,35160-2354,Non Profit,06/30/2015,2.8,,,,
00105000,Tuskegee University,Tuskegee Institute,AL,36088-1645,Non Profit,06/30/2015,2.5,,,,
02170600,United States Sports Academy,Daphne,AL,36526-7055,Non Profit,08/31/2014,3.0,,,,
02199700,Heritage Christian University,Florence,AL,35630-6245,Non Profit,06/30/2015,2.7,,,,
02270400,Southeastern Bible College,Birmingham,AL,35244-2083,Non Profit,05/31/2015,2.5,,,,
02285000,Paul Mitchell The School Huntsville,Madison,AL,35758-0000,Proprietary,12/31/2014,3.0,,,,
02296000,Prince Institute - Southeast,Montgomery,AL,36117-4231,Proprietary,12/31/2014,2.2,,,,
02503400,Amridge University,Montgomery,AL,36117-3553,Non Profit,06/30/2015,3.0,,,,
03032500,Alabama State College of Barber Styling,Gardendale,AL,35071-4615,Proprietary,12/31/2014,2.5,,,,
03459300,Southeastern School of Cosmetology,Birmingham,AL,35211-3865,Non Profit,06/30/2015,1.6,,,,
03783300,Blue Cliff Career College,Mobile,AL,36606-4749,Proprietary,12/31/2014,1.5,,,,
03894300,Huntsville Bible College,Huntsville,AL,35811-1632,Non Profit,07/31/2014,1.6,,,,
04066300,Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36606-1411,Proprietary,06/30/2015,3.0,,,,
04067300,Selma University,Selma,AL,36701-5232,Non Profit,07/31/2014,1.9,,,,
04149200,Xcell Academy A Paul Mitchell School,Hoover,AL,35216-4990,Proprietary,12/31/2014,2.8,,,,
04187200,New Beginning College of Cosmetology,Albertville,AL,35951-0000,Proprietary,12/31/2014,1.8,,,,
04187300,Hair Academy (The),Montgomery,AL,36111-2201,Proprietary,06/30/2015,2.3,,,,
04197500,University Academy of Hair Design,Northport,AL,35476-3100,Proprietary,12/31/2014,2.3,,,,
04211000,Salon Professional Academy (The),Huntsville,AL,35816-1849,Proprietary,03/31/2015,2.9,,,,
04226700,Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,Non Profit,09/30/2014,3.0,,,,
04229400,Midfield Institute of Cosmetology,Midfield,AL,35228-2233,Non Profit,12/31/2014,3.0,,,,
04255500,Alabama School of Nail Technology & Cosmetology,Jackson,AL,36545-2718,Proprietary,12/31/2014,2.5,,,,
03010600,Virginia College,Birmingham,AL,35209-5154,Proprietary,12/31/2014,-0.9,,,,
04121500,Columbia Southern University,Orange Beach,AL,36561-3815,Proprietary,12/31/2014,3.0,,,,
00108700,Arkansas Baptist College,Little Rock,AR,72202-6099,Non Profit,06/30/2015,0.3,,,,
00108800,Lyon College,Batesville,AR,72501-3699,Non Profit,06/30/2015,2.1,,,,
00109300,Central Baptist College,Conway,AR,72034-6470,Non Profit,06/30/2015,2.2,,,,
00109400,University of the Ozarks,Clarksville,AR,72830-2880,Non Profit,06/30/2015,2.6,,,,
00109500,Crowley's Ridge College,Paragould,AR,72450-9775,Non Profit,06/30/2015,2.3,,,,
00109700,Harding University,Searcy,AR,72149-0001,Non Profit,06/30/2015,3.0,,,,
00109900,Hendrix College,Conway,AR,72032-3080,Non Profit,05/31/2015,2.2,,,,
00110000,John Brown University,Siloam Springs,AR,72761-2747,Non Profit,06/30/2015,3.0,,,,
00110200,Ouachita Baptist University,Arkadelphia,AR,71998-0001,Non Profit,05/31/2015,3.0,,,,
00110300,Philander Smith College,Little Rock,AR,72202-3718,Non Profit,06/30/2015,2.9,,,,
00110500,Shorter College,North Little Rock,AR,72114-4885,Non Profit,06/30/2015,1.9,,,,
00110600,Williams Baptist College,Walnut Ridge,AR,72476-4661,Non Profit,06/30/2015,2.7,,,,
00792100,Paul Mitchell The School Arkansas,Fayetteville,AR,72703-5318,Proprietary,12/31/2014,3.0,,,,
01074100,Academy of Salon and Spa,Fort Smith,AR,72901-3833,Proprietary,06/30/2015,3.0,,,,
02272400,Eastern College of Health Vocations,Little Rock,AR,72205-3535,Proprietary,06/30/2015,2.1,,,,
